;$FILEVERSION=1.1
;$STARTTIME=44109.7735347222
;
;   Start time: 05/10/2020 18:33:53.400.0
;   Generated by PCAN-View v4.3.1.603
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   214)      1753.0  Rx     02F83201  8  00 00 00 00 E4 14 45 41 
   215)      1761.9  Rx     01F83100  4  EE 02 00 C1 
   216)      1762.7  Rx     02F83202  1  00 
   217)      1773.3  Rx     01F83100  4  EE 02 00 C2 
   218)      1784.8  Rx     01F83100  4  EE 02 00 C3 
   219)      1796.8  Rx     01F83100  4  EE 02 00 C4 
   220)      1808.2  Rx     01F83100  4  EE 02 00 C5 
   221)      1819.6  Rx     01F83100  4  EE 02 00 C6 
   222)      1831.8  Rx     01F83100  4  EE 02 00 C7 
   223)      1833.2  Rx     02F83203  6  70 17 B5 01 C0 08 
   224)      1843.2  Rx     01F83100  4  EE 02 00 C8 
   225)      1854.6  Rx     01F83100  4  EE 02 00 C9 
   226)      1856.5  Rx     03106300  4  05 0B 00 01 
   227)      1863.2  Rx     02F83202  1  00 
   228)      1866.0  Rx     01F83100  4  EE 02 00 CA 
   229)      1877.4  Rx     01F83100  4  EE 02 00 CB 
   230)      1889.5  Rx     01F83100  4  EE 02 00 CC 
   231)      1900.9  Rx     01F83100  4  EE 02 00 CD 
   232)      1912.3  Rx     01F83100  4  EE 02 00 CE 
   233)      1923.7  Rx     01F83100  4  EE 02 00 CF 
   234)      1935.8  Rx     01F83100  4  EE 02 00 D0 
   235)      1947.2  Rx     01F83100  4  EE 02 00 D1 
   236)      1956.5  Rx     03106300  4  05 0B 00 01 
   237)      1958.7  Rx     01F83100  4  EE 02 00 D2 
   238)      1963.6  Rx     02F83202  1  00 
   239)      1970.1  Rx     01F83100  4  EE 02 00 D3 
   240)      1982.1  Rx     01F83100  4  EE 02 00 D4 
   241)      1984.0  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
   242)      1984.4  Rx     02F83205  2  00 00 
   243)      1993.6  Rx     01F83100  4  EE 02 00 D5 
   244)      2005.0  Rx     01F83100  4  EE 02 00 D6 
   245)      2016.4  Rx     01F83100  4  EE 02 00 D7 
   246)      2028.5  Rx     01F83100  4  EE 02 00 D8 
   247)      2034.2  Rx     02F83201  8  00 00 00 00 E2 14 45 41 
   248)      2034.5  Rx     02FF1200  1  00 
   249)      2039.9  Rx     01F83100  4  EE 02 00 D9 
   250)      2051.3  Rx     01F83100  4  EE 02 00 DA 
   251)      2056.5  Rx     03106300  4  05 0B 00 01 
   252)      2062.7  Rx     01F83100  4  EE 02 00 DB 
   253)      2064.1  Rx     02F83202  1  00 
   254)      2074.8  Rx     01F83100  4  EE 02 00 DC 
   255)      2086.2  Rx     01F83100  4  EE 02 00 DD 
   256)      2097.7  Rx     01F83100  4  EE 02 00 DE 
   257)      2109.1  Rx     01F83100  4  EE 02 00 DF 
   258)      2121.1  Rx     01F83100  4  EE 02 00 E0 
   259)      2132.5  Rx     01F83100  4  EE 02 00 E1 
   260)      2144.0  Rx     01F83100  4  EE 02 00 E2 
   261)      2155.4  Rx     01F83100  4  EE 02 00 E3 
   262)      2156.5  Rx     03106300  4  05 0B 00 01 
   263)      2164.5  Rx     02F83202  1  00 
   264)      2167.5  Rx     01F83100  4  EE 02 00 E4 
   265)      2178.9  Rx     01F83100  4  EE 02 00 E5 
   266)      2190.3  Rx     01F83100  4  EE 02 00 E6 
   267)      2201.7  Rx     01F83100  4  EE 02 00 E7 
   268)      2213.8  Rx     01F83100  4  EE 02 00 E8 
   269)      2225.2  Rx     01F83100  4  EE 02 00 E9 
   270)      2235.1  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
   271)      2236.8  Rx     01F83100  4  EE 02 00 EA 
   272)      2248.1  Rx     01F83100  4  EE 02 00 EB 
   273)      2260.1  Rx     01F83100  4  EE 02 00 EC 
   274)      2264.9  Rx     02F83202  1  00 
   275)      2271.5  Rx     01F83100  4  EE 02 00 ED 
   276)      2283.0  Rx     01F83100  4  EE 02 00 EE 
   277)      2285.2  Rx     02F83203  6  70 17 B5 01 C0 08 
   278)      2285.5  Rx     02F83205  2  00 00 
   279)      2286.3  Rx     03106300  4  05 0B 00 01 
   280)      2294.5  Rx     01F83100  4  EE 02 00 EF 
   281)      2305.9  Rx     01F83100  4  EE 02 00 F0 
   282)      2315.4  Rx     02F83201  8  00 00 00 00 E4 14 45 41 
   283)      2318.0  Rx     01F83100  4  EE 02 00 F1 
   284)      2329.4  Rx     01F83100  4  EE 02 00 F2 
   285)      2340.8  Rx     01F83100  4  EE 02 00 F3 
   286)      2352.2  Rx     01F83100  4  EE 02 00 F4 
   287)      2364.3  Rx     01F83100  4  EE 02 00 F5 
   288)      2365.4  Rx     02F83202  1  00 
   289)      2375.7  Rx     01F83100  4  EE 02 00 F6 
   290)      2386.4  Rx     03106300  4  05 0B 00 01 
   291)      2386.7  Rx     03106303  1  09 
   292)      2387.5  Rx     01F83100  4  EE 02 00 F7 
   293)      2398.6  Rx     01F83100  4  EE 02 00 F8 
   294)      2406.2  Rx     03216400  0  
   295)      2410.7  Rx     01F83100  4  EE 02 00 F9 
   296)      2422.1  Rx     01F83100  4  EE 02 00 FA 
   297)      2426.2  Rx     03216401  0  
   298)      2433.5  Rx     01F83100  4  EE 02 00 FB 
   299)      2444.9  Rx     01F83100  4  EE 02 00 FC 
   300)      2457.0  Rx     01F83100  4  EE 02 00 FD 
   301)      2465.9  Rx     02FF3000  4  00 00 00 44 
   302)      2466.3  Rx     02F83202  1  00 
   303)      2468.4  Rx     01F83100  4  EE 02 00 FE 
   304)      2479.8  Rx     01F83100  4  EE 02 00 FF 
   305)      2486.1  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
