;$FILEVERSION=1.1
;$STARTTIME=44404.6052182292
;
;   Start time: 27/07/2021 14:31:30.855.0
;   Generated by PCAN-View v4.3.4.615
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   342)     25706.9  Rx     022B2000  4  00 00 00 08 
   343)     25737.3  Rx     05FF3005  1  00 
   344)     25768.5  Rx     05112000  4  88 45 02 00 
   345)     25768.9  Rx     022B2000  4  00 00 00 08 
   346)     25799.4  Rx     05FF3005  1  00 
   347)     25830.5  Rx     05112000  4  88 45 02 00 
   348)     25830.9  Rx     022B2000  4  00 00 00 08 
   349)     25861.3  Rx     05FF3005  1  00 
   350)     25892.5  Rx     05112000  4  88 45 02 00 
   351)     25892.9  Rx     022B2000  4  00 00 00 08 
   352)     25923.3  Rx     05FF3005  1  00 
   353)     25954.4  Rx     05112000  4  88 45 02 00 
   354)     25954.9  Rx     022B2000  4  00 00 00 08 
   355)     25985.3  Rx     05FF3005  1  00 
   356)     26016.4  Rx     05112000  4  88 45 02 00 
   357)     26016.9  Rx     022B2000  4  00 00 00 08 
   358)     26047.3  Rx     05FF3005  1  00 
   359)     26078.5  Rx     05112000  4  88 45 02 00 
   360)     26078.9  Rx     022B2000  4  00 00 00 08 
   361)     26109.3  Rx     05FF3005  1  00 
   362)     26140.5  Rx     05112000  4  88 45 02 00 
   363)     26140.9  Rx     022B2000  4  00 00 00 08 
   364)     26171.3  Rx     05FF3005  1  00 
   365)     26202.5  Rx     05112000  4  88 45 02 00 
   366)     26202.9  Rx     022B2000  4  00 00 00 08 
   367)     26233.3  Rx     05FF3005  1  00 
   368)     26264.4  Rx     05112000  4  88 45 02 00 
   369)     26264.9  Rx     022B2000  4  00 00 00 08 
   370)     26295.3  Rx     05FF3005  1  00 
   371)     26326.4  Rx     05112000  4  88 45 02 00 
   372)     26326.9  Rx     022B2000  4  00 00 00 08 
   373)     26357.3  Rx     05FF3005  1  00 
   374)     26388.4  Rx     05112000  4  88 45 02 00 
   375)     26388.9  Rx     022B2000  4  00 00 00 08 
   376)     26419.3  Rx     05FF3005  1  00 
   377)     26450.5  Rx     05112000  4  88 45 02 00 
   378)     26450.9  Rx     022B2000  4  00 00 00 08 
   379)     26481.3  Rx     05FF3005  1  00 
   380)     26512.5  Rx     05112000  4  88 45 02 00 
   381)     26512.9  Rx     022B2000  4  00 00 00 08 
   382)     26543.3  Rx     05FF3005  1  00 
   383)     26574.5  Rx     05112000  4  88 45 02 00 
   384)     26574.9  Rx     022B2000  4  00 00 00 08 
   385)     26605.3  Rx     05FF3005  1  00 
   386)     26636.5  Rx     05112000  4  88 45 02 00 
   387)     26636.9  Rx     022B2000  4  00 00 00 08 
   388)     26667.3  Rx     05FF3005  1  00 
   389)     26698.4  Rx     05112000  4  88 45 02 00 
   390)     26698.9  Rx     022B2000  4  00 00 00 08 
   391)     26729.3  Rx     05FF3005  1  00 
   392)     26760.4  Rx     05112000  4  88 45 02 00 
   393)     26760.9  Rx     022B2000  4  00 00 00 08 
   394)     26791.3  Rx     05FF3005  1  00 
   395)     26822.4  Rx     05112000  4  88 45 02 00 
   396)     26822.9  Rx     022B2000  4  00 00 00 08 
   397)     26853.3  Rx     05FF3005  1  00 
   398)     26884.4  Rx     05112000  4  88 45 02 00 
   399)     26884.9  Rx     022B2000  4  00 00 00 08 
   400)     26915.3  Rx     05FF3005  1  00 
   401)     26946.4  Rx     05112000  4  88 45 02 00 
   402)     26946.9  Rx     022B2000  4  00 00 00 08 
   403)     26977.3  Rx     05FF3005  1  00 
   404)     27008.5  Rx     05112000  4  88 45 02 00 
   405)     27008.9  Rx     022B2000  4  00 00 00 08 
   406)     27039.3  Rx     05FF3005  1  00 
   407)     27070.5  Rx     05112000  4  88 45 02 00 
   408)     27070.9  Rx     022B2000  4  00 00 00 08 
   409)     27101.3  Rx     05FF3005  1  00 
   410)     27132.4  Rx     05112000  4  88 45 02 00 
   411)     27132.9  Rx     022B2000  4  00 00 00 08 
   412)     27163.3  Rx     05FF3005  1  00 
   413)     27194.4  Rx     05112000  4  88 45 02 00 
   414)     27194.9  Rx     022B2000  4  00 00 00 08 
   415)     27225.3  Rx     05FF3005  1  00 
   416)     27256.4  Rx     05112000  4  88 45 02 00 
   417)     27256.8  Rx     022B2000  4  00 00 00 08 
   418)     27287.3  Rx     05FF3005  1  00 
   419)     27318.4  Rx     05112000  4  88 45 02 00 
   420)     27318.8  Rx     022B2000  4  00 00 00 08 
   421)     27349.3  Rx     05FF3005  1  00 
   422)     27380.4  Rx     05112000  4  88 45 02 00 
   423)     27380.8  Rx     022B2000  4  00 00 00 08 
   424)     27411.2  Rx     05FF3005  1  00 
