;$FILEVERSION=1.1
;$STARTTIME=44410.3735319213
;
;   Start time: 02/08/2021 08:57:53.158.0
;   Generated by PCAN-View v4.3.4.615
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   230)     19977.7  Rx     03106300  4  05 0B 00 01 
   231)     20031.9  Rx     05F83501  1  00 
   232)     20077.7  Rx     03106300  4  05 0B 00 01 
   233)     20207.7  Rx     03106300  4  05 0B 00 01 
   234)     20307.7  Rx     03106300  4  05 0B 00 01 
   235)     20407.7  Rx     03106300  4  05 0B 00 01 
   236)     20507.7  Rx     03106300  4  05 0B 00 01 
   237)     20637.7  Rx     03106300  4  05 0B 00 01 
   238)     20737.7  Rx     03106300  4  05 0B 00 01 
   239)     20837.7  Rx     03106300  4  05 0B 00 00 
   240)     20937.7  Rx     03106300  4  05 0B 00 00 
   241)     20938.0  Rx     03106303  1  05 
   242)     21037.7  Rx     03106300  4  05 0B 00 00 
   243)     21048.7  Rx     05F83501  1  00 
   244)     21148.6  Rx     02F83202  1  00 
   245)     21157.7  Rx     03106300  4  05 0B 00 01 
   246)     21248.8  Rx     02F83202  1  00 
   247)     21277.7  Rx     03106300  4  05 0B 00 01 
   248)     21299.3  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   249)     21329.3  Rx     02F83201  8  00 00 00 00 89 09 49 D8 
   250)     21349.2  Rx     02F83205  2  00 00 
   251)     21349.5  Rx     02F83202  1  00 
   252)     21377.7  Rx     03106300  4  05 0B 00 01 
   253)     21449.4  Rx     02F83202  1  00 
   254)     21477.7  Rx     03106300  4  05 0B 00 01 
   255)     21499.6  Rx     02F83203  6  70 17 B5 01 C0 08 
   256)     21539.6  Rx     02FF1200  1  00 
   257)     21549.8  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   258)     21550.2  Rx     02F83202  1  00 
   259)     21577.8  Rx     03106300  4  05 0B 00 01 
   260)     21610.0  Rx     02F83201  8  00 00 00 00 86 09 49 26 
   261)     21649.8  Rx     02F83202  1  00 
   262)     21650.2  Rx     02F83205  2  00 00 
   263)     21697.7  Rx     03106300  4  05 0B 00 01 
   264)     21750.1  Rx     02F83202  1  00 
   265)     21797.7  Rx     03106300  4  05 0B 00 01 
   266)     21800.5  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   267)     21850.3  Rx     02F83202  1  00 
   268)     21890.7  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   269)     21897.7  Rx     03106300  4  05 0B 00 01 
   270)     21950.5  Rx     02F83202  1  00 
   271)     21950.9  Rx     02F83205  2  00 00 
   272)     21997.7  Rx     03106300  4  05 0B 00 01 
   273)     21998.0  Rx     03106303  1  05 
   274)     22030.8  Rx     02FF1200  1  00 
   275)     22051.1  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   276)     22051.4  Rx     02F83202  1  00 
   277)     22065.4  Rx     05F83501  1  00 
   278)     22097.6  Rx     03106300  4  05 0B 00 01 
   279)     22151.0  Rx     02F83202  1  00 
   280)     22171.4  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   281)     22227.6  Rx     03106300  4  05 0B 00 01 
   282)     22251.3  Rx     02F83205  2  00 00 
   283)     22251.7  Rx     02F83202  1  00 
   284)     22301.7  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   285)     22327.7  Rx     03106300  4  05 0B 00 01 
   286)     22351.5  Rx     02F83202  1  00 
   287)     22401.8  Rx     02F83203  6  70 17 B5 01 C0 08 
   288)     22427.7  Rx     03106300  4  05 0B 00 01 
   289)     22452.0  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   290)     22452.4  Rx     02F83202  1  00 
   291)     22522.0  Rx     02FF1200  1  00 
   292)     22527.7  Rx     03106300  4  05 0B 00 01 
   293)     22552.3  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   294)     22552.6  Rx     02F83202  1  00 
   295)     22652.2  Rx     02F83202  1  00 
   296)     22657.7  Rx     03106300  4  05 0B 00 01 
   297)     22732.7  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   298)     22752.5  Rx     02F83202  1  00 
   299)     22757.7  Rx     03106300  4  05 0B 00 01 
   300)     22802.9  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   301)     22852.8  Rx     02F83202  1  00 
   302)     22853.1  Rx     02F83205  2  00 00 
   303)     22857.7  Rx     03106300  4  05 0B 00 01 
   304)     22953.0  Rx     02F83202  1  00 
   305)     22957.7  Rx     03106300  4  05 0B 00 01 
   306)     23013.2  Rx     02FF1200  1  00 
   307)     23013.7  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   308)     23053.6  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   309)     23053.9  Rx     02F83202  1  00 
   310)     23057.7  Rx     03106300  4  05 0B 00 01 
   311)     23058.0  Rx     03106303  1  05 
   312)     23082.2  Rx     05F83501  1  00 
   313)     23153.6  Rx     02F83205  2  00 00 
   314)     23153.9  Rx     02F83202  1  00 
   315)     23189.9  Rx     03106300  4  05 0B 00 01 
   316)     23253.8  Rx     02F83202  1  00 
   317)     23287.7  Rx     03106300  4  05 0B 00 01 
   318)     23294.1  Rx     02F83201  8  00 00 00 00 8B 09 49 26 
   319)     23304.2  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   320)     23304.7  Rx     02F83203  6  70 17 B5 01 C0 08 
   321)     23354.0  Rx     02F83202  1  00 
   322)     23387.7  Rx     03106300  4  05 0B 00 01 
   323)     23454.3  Rx     02F83205  2  00 00 
   324)     23454.6  Rx     02F83202  1  00 
   325)     23487.7  Rx     03106300  4  05 0B 00 01 
   326)     23504.4  Rx     02FF1200  1  11 
   327)     23554.8  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   328)     23555.1  Rx     02F83202  1  00 
   329)     23574.8  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   330)     23597.7  Rx     03106300  4  05 0B 00 01 
   331)     23654.7  Rx     02F83202  1  00 
   332)     23717.7  Rx     03106300  4  05 0B 00 01 
   333)     23755.2  Rx     02F83203  6  70 17 B5 01 C0 08 
   334)     23755.5  Rx     02F83202  1  00 
   335)     23805.4  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   336)     23817.7  Rx     03106300  4  05 0B 00 01 
   337)     23855.2  Rx     02F83202  1  00 
   338)     23855.8  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   339)     23917.7  Rx     03106300  4  05 0B 00 01 
   340)     23955.5  Rx     02F83202  1  00 
